"COUNTRY","CYEAR","ON_TIME","GTEQ_24_MONTHS","12_TO_23_MONTHS","24_TO_36_MONTHS","TARGETNUMBER","DELAYED","TOT","COV_ON_TIME","COV_TOT","COV_DELAYED","DIF_COV"
"BMU",2018,587,0,0,30,545,30,617,107.706422018349,113.211009174312,5.5045871559633,5.50458715596331
"BMU",2019,522,0,0,0,528,0,522,98.8636363636364,98.8636363636364,0,0
"BMU",2020,495,0,0,0,540,0,495,91.6666666666667,91.6666666666667,0,0
"BMU",2021,421,0,0,0,494,0,421,85.2226720647773,85.2226720647773,0,0
"BOL",2017,214557,16473,0,0,242227,16473,231030,88.5768308239792,95.3774764993168,6.8006456753376,6.80064567533761
"BOL",2018,191006,0,16473,17122,242255,33595,224601,78.845018678665,92.7126375100617,13.8676188313967,13.8676188313967
"BOL",2019,180205,126981,17122,16129,242152,160232,340437,74.4181340645545,140.588142984572,66.1700089200172,66.1700089200172
"BOL",2020,177717,163158,0,16129,237747,179287,357004,74.7504700374768,150.161305926047,75.4108358885706,75.4108358885706
"BOL",2021,163158,0,0,0,237165,0,163158,68.795142622225,68.795142622225,0,0
"BRA",2017,2622197,9708517,0,0,2854295,9708517,12330714,91.8684648923815,432.005591573401,340.137126681019,340.137126681019
"BRA",2018,2663064,1483240,1466196,0,2923441,2949436,5612500,91.0934751205856,191.982667000976,100.88919188039,100.88919188039
"BRA",2019,2322905,1280435,0,0,2923441,1280435,3603340,79.4579059402943,123.256805935198,43.7988999949033,43.7988999949033
"BRA",2020,2092969,0,583386,0,2849064,583386,2676355,73.4616351194638,93.938044213819,20.4764090943552,20.4764090943552
"BRA",2021,2202073,0,0,0,2730050,0,2202073,80.6605373527957,80.6605373527957,0,0
"BRB",2017,2060,91,0,0,2434,91,2151,84.6343467543139,88.3730484798685,3.73870172555464,3.73870172555465
"BRB",2018,2418,36,0,36,2384,36,2454,101.426174496644,102.936241610738,1.51006711409396,1.51006711409396
"BRB",2019,2256,30,0,30,2524,30,2286,89.3819334389857,90.5705229793978,1.18858954041204,1.18858954041204
"BRB",2020,1825,75,0,75,2384,75,1900,76.5520134228188,79.6979865771812,3.14597315436242,3.14597315436242
"BRB",2021,1925,0,0,0,2263,0,1925,85.0640742377375,85.0640742377375,0,0
"BRN",2017,6163,0,0,0,6236,0,6163,98.8293778062861,98.8293778062861,0,0
"BRN",2018,5819,0,0,0,5985,0,5819,97.2263993316625,97.2263993316625,0,0
"BRN",2019,5944,0,0,0,6004,0,5944,99.0006662225183,99.0006662225183,0,0
"BRN",2020,6271,0,0,0,6307,0,6271,99.429205644522,99.429205644522,0,0
"BRN",2021,6633,0,0,0,6819,0,6633,97.2723273207215,97.2723273207215,0,0
"BTN",2018,11140,0,0,0,11337,0,11140,98.2623268942401,98.2623268942401,0,0
"BTN",2019,11005,0,0,0,11287,0,11005,97.5015504562771,97.5015504562771,0,0
"BTN",2020,9826,0,0,0,10600,0,9826,92.6981132075472,92.6981132075472,0,0
"BTN",2021,10963,0,0,0,11314,0,10963,96.8976489305285,96.8976489305285,0,0
"BTN",2022,10038,0,0,0,10341,0,10038,97.0699158688715,97.0699158688715,0,0
"BWA",2018,49890,0,1946,0,62953,1946,51836,79.2495989071212,82.3407939256271,3.09119501850587,3.09119501850587
"BWA",2019,50373,0,2098,0,63476,2098,52471,79.3575524607726,82.6627386728842,3.30518621211166,3.30518621211168
"BWA",2020,45516,0,3311,0,64682,3311,48827,70.3688816053925,75.4877709409109,5.11888933551838,5.11888933551839
"BWA",2021,49073,0,0,0,65876,0,49073,74.4929868237294,74.4929868237294,0,0
"BWA",2022,45854,0,0,0,65501,0,45854,70.0050380910215,70.0050380910215,0,0
"CHL",2017,204353,193,0,0,218918,193,204546,93.3468239249399,93.434984788825,0.0881608638851077,0.0881608638850935
"CHL",2018,208482,173,0,173,220307,173,208655,94.6324901160653,94.7110168991453,0.0785267830799748,0.0785267830799796
"CHL",2019,191483,88593,0,444,210701,89037,280520,90.8790181347027,133.136529964262,42.2575118295594,42.2575118295594
"CHL",2020,179799,337,0,337,194748,337,180136,92.3239263047631,92.4969704438557,0.173044139092571,0.173044139092582
"CHL",2021,166149,0,0,0,176940,0,166149,93.9013224821974,93.9013224821974,0,0
"CHN",2018,17200967,0,0,0,17446720,0,17200967,98.5914085856826,98.5914085856826,0,0
"CHN",2019,14970206,0,0,0,15147660,0,14970206,98.8285055249458,98.8285055249458,0,0
"CHN",2020,15273731,0,0,0,15394437,0,15273731,99.2159115659767,99.2159115659767,0,0
"CHN",2021,12993379,0,0,0,13067581,0,12993379,99.4321672848249,99.4321672848249,0,0
"CHN",2022,10223023,0,0,0,10312851,0,10223023,99.1289702527458,99.1289702527458,0,0
"CIV",2018,886850,0,8046,0,968359,8046,894896,91.5827704394755,92.4136606361897,0.830890196714235,0.830890196714222
"CIV",2019,928216,0,10151,0,1007093,10151,938367,92.1678534157223,93.1758040220714,1.00795060634917,1.00795060634917
"CIV",2020,898164,0,2754,0,1044481,2754,900918,85.9914158323608,86.2550874549178,0.26367162255704,0.263671622557041
"CIV",2021,938139,0,1214,0,1063668,1214,939353,88.1984792247205,88.3126125821215,0.114133357400994,0.114133357400988
"CIV",2022,933382,0,0,0,1091894,0,933382,85.4828399093685,85.4828399093685,0,0
"CMR",2018,611583,0,0,0,861979,0,611583,70.9510324497464,70.9510324497464,0,0
"CMR",2019,632087,20682,236739,0,884076,257421,889508,71.4969075056895,100.614426813984,29.1175193082948,29.1175193082948
"CMR",2020,657006,0,20682,0,888066,20682,677688,73.9816635250083,76.3105444865584,2.32888096155015,2.32888096155015
"CMR",2021,697298,0,33566,0,941701,33566,730864,74.0466453789472,77.6110463937067,3.56440101475946,3.56440101475945
"CMR",2022,742078,0,0,0,965829,0,742078,76.8332696574652,76.8332696574652,0,0
"COL",2017,692174,650599,0,0,727193,650599,1342773,95.1843595854196,184.651529923968,89.4671703385484,89.4671703385484
"COL",2018,663997,0,0,3286,702452,3286,667283,94.5256045964706,94.9933945664615,0.467789969990832,0.467789969990832
"COL",2019,633760,569966,19950,3286,700319,593202,1226962,90.4959025815378,175.200444368923,84.7045417873855,84.7045417873855
"COL",2020,569966,30211,0,0,690659,30211,600177,82.5249508078516,86.8991789001519,4.37422809230025,4.37422809230026
"COL",2021,594043,0,597093,0,674937,597093,1191136,88.0145850649764,176.481064158581,88.4664790936043,88.4664790936043
"CPV",2018,10427,0,20,0,10496,20,10447,99.3426067073171,99.5331554878049,0.190548780487805,0.190548780487802
"CPV",2020,9843,0,33,0,10379,33,9876,94.8357259851623,95.1536756912997,0.317949706137393,0.317949706137398
"CPV",2021,8570,0,0,0,8201,0,8570,104.499451286428,104.499451286428,0,0
"CPV",2022,8267,0,0,0,8201,0,8267,100.80477990489,100.80477990489,0,0
"CRI",2017,65373,0,0,0,69248,0,65373,94.4041705175601,94.4041705175601,0,0
"CRI",2018,64607,0,0,0,67906,0,64607,95.1418136836215,95.1418136836215,0,0
"CRI",2019,62958,0,0,0,66347,0,62958,94.8920071744012,94.8920071744012,0,0
"CRI",2020,50940,3146,0,0,57386,3146,54086,88.767295159098,94.2494685114836,5.4821733523856,5.4821733523856
"CRI",2021,48197,0,0,0,53435,0,48197,90.1974361373632,90.1974361373632,0,0
"CUB",2017,120396,110,0,0,120400,110,120506,99.9966777408638,100.08803986711,0.0913621262458472,0.0913621262458406
"CUB",2018,115833,226,0,0,115872,226,116059,99.9663421706711,100.161384976526,0.195042805854736,0.19504280585474
"CUB",2019,106792,102,0,0,109165,102,106894,97.8262263546008,97.9196628956167,0.0934365410158934,0.0934365410158904
"CUB",2020,104396,102,0,0,104514,102,104498,99.8870964655453,99.9846910461756,0.0975945806303462,0.0975945806303429
"CUB",2021,104472,0,0,0,104514,0,104472,99.959813996211,99.959813996211,0,0
"CYM",2017,641,0,0,0,713,0,641,89.9018232819074,89.9018232819074,0,0
"CYM",2019,594,24,0,19,727,43,637,81.7056396148556,87.6203576341128,5.91471801925722,5.91471801925722
"CYM",2020,637,26,0,26,753,26,663,84.5949535192563,88.0478087649402,3.45285524568393,3.45285524568393
"CYM",2021,772,0,0,0,841,0,772,91.79548156956,91.79548156956,0,0
"CYP",2017,4469,0,0,0,9326,0,4469,47.9197941239545,47.9197941239545,0,0
"CYP",2018,3866,0,0,0,9238,0,3866,41.848885040052,41.848885040052,0,0
"CZE",2020,7564,0,0,0,7834,0,7564,96.5534848098034,96.5534848098034,0,0
"CZE",2021,7564,0,0,0,7834,0,7564,96.5534848098034,96.5534848098034,0,0
"DEU",2017,617469,0,0,0,635696,0,617469,97.1327489869372,97.1327489869372,0,0
"DEU",2018,625356,0,0,0,643115,0,625356,97.2385965185076,97.2385965185076,0,0
"DEU",2019,603829,0,0,0,620982,0,603829,97.2377621251502,97.2377621251502,0,0
"DEU",2020,296568,0,0,0,304539,0,296568,97.3826012431905,97.3826012431905,0,0
"DMA",2017,520,21,0,0,622,21,541,83.6012861736334,86.9774919614148,3.37620578778135,3.37620578778134
"DMA",2018,647,163,0,0,702,163,810,92.1652421652422,115.384615384615,23.2193732193732,23.2193732193732
"DMA",2019,717,27,0,27,782,27,744,91.6879795396419,95.1406649616368,3.45268542199488,3.45268542199489
"DMA",2020,691,144,0,0,786,144,835,87.9134860050891,106.234096692112,18.3206106870229,18.3206106870229
"DMA",2021,631,0,0,0,722,0,631,87.3961218836565,87.3961218836565,0,0
"DNK",2017,59264,0,0,0,62793,0,59264,94.3799468093577,94.3799468093577,0,0
"DNK",2018,59095,0,0,0,62246,0,59095,94.9378273302702,94.9378273302702,0,0
"DNK",2019,57952,0,0,0,61934,0,57952,93.5705751283624,93.5705751283624,0,0
"DNK",2020,58179,0,0,0,61855,0,58179,94.0570689515803,94.0570689515803,0,0
"DNK",2021,58167,0,0,0,62168,0,58167,93.5642130999871,93.5642130999871,0,0
"DOM",2017,182863,0,182863,0,191614,182863,365726,95.4330059390232,190.866011878046,95.4330059390232,95.4330059390232
"DOM",2018,187272,0,0,0,190554,0,187272,98.2776535785132,98.2776535785132,0,0
"DOM",2019,156096,0,0,0,189790,0,156096,82.2466937141051,82.2466937141051,0,0
"DOM",2020,165884,0,0,0,188705,0,165884,87.9065207599163,87.9065207599163,0,0
"DOM",2021,188845,0,0,0,187615,0,188845,100.655597899955,100.655597899955,0,0
"ECU",2017,276814,10523,0,0,332461,10523,287337,83.2620969076072,86.4272801922632,3.16518328465594,3.16518328465595
"ECU",2018,276289,35784,0,0,331669,35784,312073,83.3026300317485,94.0916998573879,10.7890698256394,10.7890698256394
"ECU",2019,266550,343089,302334,0,331025,645423,911973,80.5226191375274,275.499735669511,194.977116531984,194.977116531984
