"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"FIN",2019,"DTPCV3","NOT_COLLECTED",NA
"SLV",2019,"DTPCV3","12_TO_23_MONTHS","1845"
"DJI",2018,"DTPCV3","NOT_COLLECTED","19910"
"SYR",2017,"MCV1","NOT_COLLECTED","427634"
"NZL",2019,"DTPCV3","NOT_COLLECTED","55089"
"SLV",2019,"DTPCV3","NOT_COLLECTED","88982"
"SWZ",2019,"DTPCV3","NOT_COLLECTED","28106"
"MNE",2017,"MCV1","NOT_COLLECTED","4458"
"SRB",2018,"DTPCV3","NOT_COLLECTED","62623"
"GTM",2019,"DTPCV3","NOT_COLLECTED","324030"
"ESP",2019,"DTPCV3","NOT_COLLECTED","317345"
"HKG",2018,"DTPCV3","NOT_COLLECTED",NA
"GTM",2018,"MCV1","NOT_COLLECTED","340314"
"RWA",2018,"MCV1","NOT_COLLECTED","352573"
"WLF",2018,"MCV1","NOT_COLLECTED","160"
"TJK",2019,"MCV1","NOT_COLLECTED","242705"
"PRY",2019,"MCV1","GTEQ_24_MONTHS","5589"
"SLV",2018,"DTPCV3","NOT_COLLECTED","89852"
"GNQ",2019,"MCV1","NOT_COLLECTED","13335"
"MNP",2018,"MCV1","NOT_COLLECTED",NA
"GMB",2019,"MCV1","NOT_COLLECTED","69957"
"SVN",2017,"MCV1","NOT_COLLECTED",NA
"HUN",2018,"DTPCV3","NOT_COLLECTED","89675"
"ARG",2019,"DTPCV3","GTEQ_24_MONTHS",NA
"IRL",2017,"DTPCV3","NOT_COLLECTED","62791"
"JAM",2018,"MCV1","GTEQ_24_MONTHS","602"
"AUS",2017,"MCV1","NOT_COLLECTED",NA
"KHM",2017,"DTPCV3","NOT_COLLECTED","351821"
"GEO",2019,"MCV1","NOT_COLLECTED","46955"
"BLR",2019,"MCV1","NOT_COLLECTED","92820"
"PYF",2017,"DTPCV3","NOT_COLLECTED",NA
"RWA",2017,"MCV1","NOT_COLLECTED","356605"
"SUR",2018,"DTPCV3","NOT_COLLECTED","9008"
"IRL",2019,"DTPCV3","NOT_COLLECTED","43726"
"LBY",2018,"MCV1","NOT_COLLECTED","255210"
"ABW",2019,"MCV1","NOT_COLLECTED","1182"
"BDI",2017,"DTPCV3","NOT_COLLECTED","338993"
"LKA",2018,"DTPCV3","NOT_COLLECTED","314570"
"NAM",2019,"MCV1","NOT_COLLECTED","67511"
"GBR",2019,"DTPCV3","NOT_COLLECTED","699891"
"CUB",2018,"DTPCV3","NOT_COLLECTED","120390"
"DMA",2018,"MCV1","NOT_COLLECTED","520"
"VEN",2018,"DTPCV3","GTEQ_24_MONTHS","66789"
"COG",2017,"DTPCV3","NOT_COLLECTED","146488"
"ARG",2018,"DTPCV3","12_TO_23_MONTHS","19783"
"DOM",2018,"DTPCV3","12_TO_23_MONTHS","5903"
"UKR",2019,"MCV1","NOT_COLLECTED","310838"
"HND",2019,"DTPCV3","12_TO_23_MONTHS","3792"
"NRU",2018,"MCV1","NOT_COLLECTED","335"
"URY",2018,"MCV1","NOT_COLLECTED","41728"
"RUS",2018,"MCV1","NOT_COLLECTED","1723774"
"KOR",2018,"DTPCV3","NOT_COLLECTED","352444"
"TJK",2017,"MCV1","NOT_COLLECTED","249329"
"CZE",2017,"MCV1","NOT_COLLECTED","107418"
"IND",2019,"MCV1","NOT_COLLECTED","25042839"
"COL",2019,"DTPCV3","NOT_COLLECTED","635987"
"MMR",2017,"MCV1","NOT_COLLECTED","786573"
"MOZ",2018,"DTPCV3","NOT_COLLECTED","1157224"
"SXM",2017,"MCV1","NOT_COLLECTED","425"
"KIR",2017,"MCV1","NOT_COLLECTED","2524"
"BHS",2019,"DTPCV3","NOT_COLLECTED","3472"
"DEU",2019,"DTPCV3","NOT_COLLECTED",NA
"NPL",2019,"MCV1","NOT_COLLECTED","519675"
"VEN",2018,"MCV1","NOT_COLLECTED","398896"
"VEN",2019,"DTPCV3","NOT_COLLECTED","343869"
"AUS",2019,"MCV1","NOT_COLLECTED",NA
"ABW",2018,"MCV1","NOT_COLLECTED","1206"
"AIA",2018,"DTPCV3","12_TO_23_MONTHS","6"
"VCT",2018,"DTPCV3","12_TO_23_MONTHS",NA
"SVK",2019,"DTPCV3","NOT_COLLECTED","56105"
"KOR",2017,"DTPCV3","NOT_COLLECTED","399128"
"CIV",2017,"MCV1","NOT_COLLECTED","802427"
"ITA",2018,"MCV1","NOT_COLLECTED","434549"
"TCA",2017,"MCV1","NOT_COLLECTED","559"
"MNP",2018,"DTPCV3","NOT_COLLECTED","969"
"MDA",2018,"MCV1","NOT_COLLECTED","35996"
"TLS",2018,"DTPCV3","NOT_COLLECTED","40644"
"BTN",2018,"MCV1","NOT_COLLECTED","11140"
"BHS",2017,"DTPCV3","NOT_COLLECTED","3876"
"RWA",2018,"DTPCV3","NOT_COLLECTED","347426"
"OMN",2018,"DTPCV3","NOT_COLLECTED","86997"
"SYR",2019,"DTPCV3","NOT_COLLECTED","398242"
"MDV",2018,"MCV1","NOT_COLLECTED","6483"
"KGZ",2018,"MCV1","NOT_COLLECTED","146399"
"BDI",2017,"MCV1","NOT_COLLECTED","333240"
"LSO",2019,"DTPCV3","NOT_COLLECTED","31715"
"ROU",2018,"DTPCV3","NOT_COLLECTED","160900"
"SOM",2018,"DTPCV3","NOT_COLLECTED","403765"
"MAR",2017,"MCV1","NOT_COLLECTED","708755"
"FRA",2018,"MCV1","NOT_COLLECTED",NA
"CUB",2017,"DTPCV3","NOT_COLLECTED","115569"
"MDA",2017,"MCV1","NOT_COLLECTED","38377"
"SMR",2018,"MCV1","NOT_COLLECTED","242"
"BMU",2018,"DTPCV3","GTEQ_24_MONTHS",NA
"PRY",2017,"DTPCV3","NOT_COLLECTED","111788"
"CAN",2017,"DTPCV3","NOT_COLLECTED",NA
"PAN",2018,"MCV1","GTEQ_24_MONTHS","1778"
"LCA",2017,"MCV1","NOT_COLLECTED","1873"
"ARM",2017,"DTPCV3","NOT_COLLECTED","35341"
"TGO",2018,"DTPCV3","NOT_COLLECTED","271357"
"ISL",2018,"MCV1","NOT_COLLECTED","3956"
"TTO",2019,"MCV1","NOT_COLLECTED","15177"
"NCL",2018,"MCV1","NOT_COLLECTED",NA
"URY",2018,"MCV1","GTEQ_24_MONTHS","2451"
"NRU",2019,"MCV1","NOT_COLLECTED","294"
"ARE",2019,"DTPCV3","NOT_COLLECTED","72511"
"CHL",2018,"DTPCV3","12_TO_23_MONTHS","2660"
"DMA",2018,"DTPCV3","12_TO_23_MONTHS","0"
"CUW",2018,"MCV1","NOT_COLLECTED","1678"
"BLZ",2018,"DTPCV3","GTEQ_24_MONTHS","1"
"TTO",2018,"MCV1","GTEQ_24_MONTHS","147"
"CHN",2019,"MCV1","NOT_COLLECTED","14970206"
"BMU",2019,"MCV1","NOT_COLLECTED","587"
"PER",2017,"DTPCV3","NOT_COLLECTED","451561"
"DOM",2019,"MCV1","GTEQ_24_MONTHS",NA
"PSE",2017,"DTPCV3","NOT_COLLECTED","132818"
"FSM",2019,"MCV1","NOT_COLLECTED","3444"
"TJK",2017,"DTPCV3","NOT_COLLECTED","242313"
"BGD",2019,"DTPCV3","NOT_COLLECTED","3848029"
"NLD",2018,"MCV1","NOT_COLLECTED","161541"
"TON",2017,"DTPCV3","NOT_COLLECTED","2447"
"GNB",2018,"MCV1","NOT_COLLECTED","51641"
"ROU",2018,"MCV1","NOT_COLLECTED","80848"
"BIH",2017,"DTPCV3","NOT_COLLECTED","27683"
"GUY",2018,"MCV1","GTEQ_24_MONTHS",NA
"AND",2019,"MCV1","NOT_COLLECTED",NA
"ZWE",2017,"DTPCV3","NOT_COLLECTED","395948"
"MEX",2017,"MCV1","NOT_COLLECTED","1683202"
"NPL",2017,"DTPCV3","NOT_COLLECTED","539698"
"PNG",2018,"DTPCV3","NOT_COLLECTED","122073"
"HUN",2018,"MCV1","NOT_COLLECTED","91244"
"CRI",2019,"DTPCV3","12_TO_23_MONTHS",NA
"SVK",2019,"MCV1","NOT_COLLECTED","55690"
"PAN",2018,"DTPCV3","NOT_COLLECTED","62477"
"NCL",2017,"MCV1","NOT_COLLECTED",NA
"LBN",2018,"MCV1","NOT_COLLECTED","127744"
"NIC",2018,"DTPCV3","12_TO_23_MONTHS","4595"
"VEN",2018,"DTPCV3","NOT_COLLECTED","321580"
"DNK",2019,"DTPCV3","NOT_COLLECTED","59918"
"NPL",2019,"DTPCV3","NOT_COLLECTED","561675"
"COL",2018,"DTPCV3","GTEQ_24_MONTHS","14069"
"EST",2017,"MCV1","NOT_COLLECTED","12774"
"MEX",2018,"MCV1","GTEQ_24_MONTHS","205458"
"MWI",2018,"DTPCV3","NOT_COLLECTED","665796"
"MSR",2018,"MCV1","NOT_COLLECTED","51"
"URY",2018,"DTPCV3","GTEQ_24_MONTHS","479"
"GHA",2019,"MCV1","NOT_COLLECTED","1124121"
"BHS",2018,"DTPCV3","GTEQ_24_MONTHS",NA
"AUS",2018,"MCV1","NOT_COLLECTED",NA
